table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Tulsa, OK Metro Area","1,015,331","1,016,589","1,023,988"
".Tuscaloosa, AL Metro Area","268,674","268,711","268,191"
".Twin Falls, ID Metro Area","114,283","114,501","116,905"
".Tyler, TX Metro Area","233,479","234,063","237,186"
".Urban Honolulu, HI Metro Area","1,016,508","1,013,227","1,000,890"
".Utica-Rome, NY Metro Area","292,264","291,702","290,211"
".Valdosta, GA Metro Area","148,126","148,160","149,152"
".Vallejo, CA Metro Area","453,491","453,274","451,716"
".Victoria, TX Metro Area","98,331","98,241","98,127"
".Vineland-Bridgeton, NJ Metro Area","154,152","153,848","153,627"
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,799,674","1,800,081","1,803,328"
".Visalia, CA Metro Area","473,117","473,736","477,054"
".Waco, TX Metro Area","277,547","277,984","280,428"
".Walla Walla, WA Metro Area","62,584","62,574","62,682"
".Warner Robins, GA Metro Area","191,614","192,277","195,246"
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6,385,162","6,385,714","6,356,434"
"..Frederick-Gaithersburg-Rockville, MD Metro Division","1,333,778","1,333,980","1,334,662"
"..Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division","5,051,384","5,051,734","5,021,772"
".Waterloo-Cedar Falls, IA Metro Area","168,461","168,266","167,796"
".Watertown-Fort Drum, NY Metro Area","116,721","116,134","116,295"
".Wausau-Weston, WI Metro Area","166,428","166,328","166,189"
".Weirton-Steubenville, WV-OH Metro Area","116,903","116,595","115,585"
".Wenatchee, WA Metro Area","122,012","122,183","123,342"
".Wheeling, WV-OH Metro Area","139,513","138,943","137,740"
".Wichita, KS Metro Area","647,610","647,921","647,919"
".Wichita Falls, TX Metro Area","148,128","148,348","149,013"
".Williamsport, PA Metro Area","114,188","113,980","113,605"
".Wilmington, NC Metro Area","285,905","286,623","291,833"
".Winchester, VA-WV Metro Area","142,632","142,841","145,155"
".Winston-Salem, NC Metro Area","675,966","676,369","681,438"
".Worcester, MA-CT Metro Area","978,529","977,701","978,447"
".Yakima, WA Metro Area","256,728","256,533","256,035"
".York-Hanover, PA Metro Area","456,438","456,389","458,696"
