"REF_DATE","GEO","DGUID","Coordinate","Population and dwelling counts (13): Population, 2021 [1]","Symbols","Population and dwelling counts (13): Population, 2016 [2]","Symbols","Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]","Symbols","Population and dwelling counts (13): Total private dwellings, 2021 [4]","Symbols","Population and dwelling counts (13): Total private dwellings, 2016 [5]","Symbols","Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]","Symbols","Population and dwelling counts (13): Land area in square kilometres, 2021 [10]","Symbols","Population and dwelling counts (13): Population density per square kilometre, 2021 [11]","Symbols","Population and dwelling counts (13): National population rank, 2021 [12]","Symbols","Population and dwelling counts (13): Province/territory population rank, 2021 [13]","Symbols"
"2021","Sooke","2021A00055917052","1069","15086",,"13001",,"16.0",,"6431",,"5599",,"14.9",,"6129",,"5253",,"16.7",,"56.60",,"266.6",,"288",,"45",
"2021","South Saanich 1","2021A00055917804","1070","712",,"822",,"-13.4",,"251",,"248",,"1.2",,"237",,"227",,"4.4",,"2.09",,"340.9",,"2496",,"297",
"2021","T'Sou-ke","2021A00055917819","1071","230",,"225",,"2.2",,"97",,"90",,"7.8",,"91",,"84",,"8.3",,"0.75",,"307.8",,"3747",,"394",
"2021","Union Bay 4","2021A00055917802","1072","109",,"94",,"16.0",,"48",,"40",,"20.0",,"40",,"33",,"21.2",,"0.29",,"376.6",,"4222",,"452",
"2021","Victoria","2021A00055917034","1073","91867",,"85792",,"7.1",,"53070",,"49212",,"7.8",,"49222",,"45762",,"7.6",,"19.45",,"4722.3",,"66",,"14",
"2021","View Royal","2021A00055917047","1074","11575",,"10408",,"11.2",,"5175",,"4299",,"20.4",,"4915",,"4154",,"18.3",,"14.33",,"807.6",,"374",,"57",
"2021","Victoriaville","2021S0504440","1075","52936",,"51336","r","3.1",,"25279",,"23492","r","7.6",,"23910",,"22655","r","5.5",,"378.10",,"140.0",,"61",,"11",
"2021","Chesterville","2021A00052439030","1076","877",,"922",,"-4.9",,"422",,"416",,"1.4",,"363",,"358",,"1.4",,"116.72",,"7.5",,"2269",,"719",
"2021","Saint-Christophe-d'Arthabaska","2021A00052439060","1077","3111",,"3021",,"3.0",,"1222",,"1173",,"4.2",,"1178",,"1124",,"4.8",,"68.96",,"45.1",,"1017",,"265",
"2021","Saint-Valère","2021A00052439135","1078","1188",,"1263",,"-5.9",,"529",,"523",,"1.1",,"505",,"499",,"1.2",,"108.10",,"11.0",,"1911",,"583",
"2021","Victoriaville","2021A00052439062","1079","47760",,"46130",,"3.5",,"23106",,"21380",,"8.1",,"21864",,"20674",,"5.8",,"84.33",,"566.4",,"110",,"25",
"2021","Wasaga Beach","2021S0504565","1080","24862",,"20675",,"20.3",,"13768",,"12516",,"10.0",,"10811",,"9005",,"20.1",,"57.42",,"433.0",,"101",,"32",
"2021","Wasaga Beach","2021A00053543064","1081","24862",,"20675",,"20.3",,"13768",,"12516",,"10.0",,"10811",,"9005",,"20.1",,"57.42",,"433.0",,"180",,"70",
"2021","Wetaskiwin","2021S0504865","1082","12594",,"12655",,"-0.5",,"5643",,"5563",,"1.4",,"5186",,"5121",,"1.3",,"18.75",,"671.6",,"149",,"17",
"2021","Wetaskiwin","2021A00054811002","1083","12594",,"12655",,"-0.5",,"5643",,"5563",,"1.4",,"5186",,"5121",,"1.3",,"18.75",,"671.6",,"343",,"38",
"2021","Weyburn","2021S0504755","1084","12247",,"12055","r","1.6",,"5613",,"5596","r","0.3",,"5089",,"5010","r","1.6",,"828.28",,"14.8",,"150",,"10",
"2021","McTaggart","2021A00054702048","1085","125",,"121",,"3.3",,"44",,"43",,"2.3",,"42",,"41",,"2.4",,"0.75",,"166.9",,"4150",,"695",
"2021","Weyburn","2021A00054702047","1086","11019",,"10870",,"1.4",,"5142",,"5135",,"0.1",,"4655",,"4586",,"1.5",,"19.03",,"579.1",,"395",,"10",
"2021","Weyburn No. 67","2021A00054702044","1087","1103",,"1064",,"3.7",,"427",,"418",,"2.2",,"392",,"383",,"2.3",,"808.50",,"1.4",,"1994",,"107",
"2021","Whitehorse","2021S0504990","1088","31913",,"28225",,"13.1",,"14121",,"12516",,"12.8",,"13186",,"11625",,"13.4",,"8465.21",,"3.8",,"83",,"1",
"2021","Ibex Valley","2021A00056001055","1089","523",,"411",,"27.3",,"261",,"216",,"20.8",,"225",,"190",,"18.4",,"207.13",,"2.5",,"2885",,"9",
"2021","Lake Laberge 1","2021A00056001010","1090","24",,"25",,"-4.0",,"13",,"20",,"-35.0",,"10",,"10",,"0.0",,"1.17",,"20.4",,"4645",,"25",
"2021","Macpherson-Grizzly Valley","2021A00056001059","1091","1540",,"1245",,"23.7",,"865",,"647",,"33.7",,"713",,"552",,"29.2",,"1834.28",,"0.8",,"1642",,"3",
"2021","Marsh Lake","2021A00056001058","1092","746",,"696",,"7.2",,"527",,"531",,"-0.8",,"377",,"343",,"9.9",,"817.11",,"0.9",,"2445",,"6",
"2021","Mt. Lorne","2021A00056001044","1093","468",,"437",,"7.1",,"246",,"219",,"12.3",,"222",,"196",,"13.3",,"159.23",,"2.9",,"3012",,"10",
"2021","Whitehorse","2021A00056001009","1094","28201",,"25085",,"12.4",,"11970",,"10710",,"11.8",,"11436",,"10187",,"12.3",,"413.94",,"68.1",,"166",,"1",
"2021","Whitehorse, Unorganized","2021A00056001060","1095","411",,"326",,"26.1",,"239",,"173",,"38.2",,"203",,"147",,"38.1",,"5032.35",,"0.1",,"3145",,"12",
"2021","Williams Lake","2021S0504950","1096","23608",,"23113","r","2.1",,"11177",,"10881","r","2.7",,"10044",,"9680","r","3.8",,"12422.14",,"1.9",,"105",,"19",
"2021","Alkali Lake 1","2021A00055941801","1097","358",,"328",,"9.1",,"114",,"122",,"-6.6",,"112",,"113",,"-0.9",,"2.59",,"138.3",,"3320",,"353",
"2021","Alkali Lake 4A","2021A00055941873","1098","5",,"10",,"-50.0",,"2",,"3",,"-33.3",,"2",,"3",,"-33.3",,"1.29",,"3.9",,"4760",,"610",
"2021","Cariboo D","2021A00055941010","1099","2870",,"2929",,"-2.0",,"1408",,"1350",,"4.3",,"1223",,"1233",,"-0.8",,"849.54",,"3.4",,"1082",,"168",
"2021","Cariboo E","2021A00055941012","1100","4112",,"4064",,"1.2",,"1867",,"1821",,"2.5",,"1723",,"1693",,"1.8",,"1745.18",,"2.4",,"842",,"124",
"2021","Cariboo F","2021A00055941014","1101","4792",,"4554",,"5.2",,"2491",,"2371",,"5.1",,"2034",,"1943",,"4.7",,"9740.20",,"0.5",,"760",,"106",
"2021","Deep Creek 2","2021A00055941805","1102","111",,"91",,"22.0",,"47",,"47",,"0.0",,"42",,"41",,"2.4",,"15.67",,"7.1",,"4208",,"449",
"2021","Dog Creek 1","2021A00055941806","1103","88",,"79",,"11.4",,"42",,"35",,"20.0",,"41",,"31",,"32.3",,"1.36",,"64.6",,"4314",,"476",
"2021","Dog Creek 2","2021A00055941807","1104","17",,"20",,"-15.0",,"5",,"11",,"-54.5",,"5",,"11",,"-54.5",,"2.19",,"7.7",,"4683",,"576",
"2021","Johny Sticks 2","2021A00055941811","1105","10",,"10",,"0.0",,"5",,"5",,"0.0",,"5",,"5",,"0.0",,"3.07",,"3.3",,"4722",,"592",
"2021","Little Springs","2021A00055941885","1106","20",,"15",,"33.3",,"11",,"7",,"57.1",,"11",,"6",,"83.3",,"4.71",,"4.2",,"4658",,"569",
"2021","Sandy Harry 4","2021A00055941868","1107","0",,"5",,"-100.0",,"1",,"2",,"-50.0",,"1",,"1",,"0.0",,"1.68",,"0.0",,"4831",,"644",
"2021","Soda Creek 1","2021A00055941810","1108","30",,"59",,"-49.2",,"13",,"15",,"-13.3",,"12",,"15",,"-20.0",,"4.03",,"7.4",,"4592",,"550",
"2021","Swan Lake 3","2021A00055941872","1109","0",,"5",,"-100.0",,"0",,"3",,"-100.0",,"0",,"3",,"-100.0",,"0.96",,"0.0",,"4831",,"644",
"2021","Williams Lake","2021A00055941009","1110","10947",,"10753",,"1.8",,"5066",,"5005",,"1.2",,"4736",,"4506",,"5.1",,"33.12",,"330.5",,"399",,"60",
"2021","Williams Lake 1","2021A00055941812","1111","248",,"191",,"29.8",,"105",,"84",,"25.0",,"97",,"76",,"27.6",,"16.55",,"15.0",,"3687",,"383",
"2021","Windsor","2021S0503559","1112","422630",,"398718","r","6.0",,"174072",,"168187","r","3.5",,"165665",,"158960","r","4.2",,"1803.17",,"234.4",,"14",,"7",
"2021","Amherstburg","2021A00053537028","1113","23524",,"21936",,"7.2",,"9548",,"8951",,"6.7",,"9193",,"8522",,"7.9",,"183.76",,"128.0",,"189",,"74",
"2021","Essex","2021A00053537016","1114","21216",,"20427",,"3.9",,"8880",,"8694",,"2.1",,"8391",,"8080",,"3.8",,"277.53",,"76.4",,"213",,"85",
"2021","Kingsville","2021A00053537013","1115","22119",,"21552",,"2.6",,"8635",,"8359",,"3.3",,"8285",,"7973",,"3.9",,"246.08",,"89.9",,"203",,"78",
"2021","LaSalle","2021A00053537034","1116","32721",,"30180",,"8.4",,"11922",,"10793",,"10.5",,"11644",,"10689",,"8.9",,"64.96",,"503.7",,"149",,"60",
"2021","Lakeshore","2021A00053537064","1117","40410",,"36611",,"10.4",,"14954",,"13900",,"7.6",,"14386",,"13185",,"9.1",,"529.00",,"76.4",,"129",,"54",
"2021","Leamington","2021A00053537003","1118","29680",,"27595",,"7.6",,"11219",,"10726",,"4.6",,"10547",,"9995",,"5.5",,"261.24",,"113.6",,"160",,"63",
"2021","Tecumseh","2021A00053537048","1119","23300",,"23229",,"0.3",,"9111",,"8987",,"1.4",,"8946",,"8884",,"0.7",,"94.59",,"246.3",,"191",,"75",
"2021","Windsor","2021A00053537039","1120","229660",,"217188",,"5.7",,"99803",,"97777",,"2.1",,"94273",,"91632",,"2.9",,"146.02",,"1572.8",,"23",,"10",
"2021","Winkler","2021S0504603","1121","32655",,"30297",,"7.8",,"11755",,"10539",,"11.5",,"11363",,"10264",,"10.7",,"872.19",,"37.4",,"82",,"3",
"2021","Morden","2021A00054603053","1122","9929",,"8668",,"14.5",,"4162",,"3636",,"14.5",,"3995",,"3499",,"14.2",,"16.29",,"609.6",,"432",,"13",
"2021","Stanley","2021A00054603047","1123","8981",,"8969","r","0.1",,"2354",,"2218","r","6.1",,"2279",,"2185","r","4.3",,"835.18",,"10.8",,"468",,"15",
"2021","Winkler","2021A00054603050","1124","13745",,"12660","r","8.6",,"5239",,"4685","r","11.8",,"5089",,"4580","r","11.1",,"20.73",,"663.1",,"318",,"6",
"2021","Winnipeg","2021S0503602","1125","834678",,"783099","r","6.6",,"347144",,"323105","r","7.4",,"330326",,"308105","r","7.2",,"5285.46",,"157.9",,"8",,"1",
"2021","Brokenhead 4","2021A00054613062","1126","434",,"516",,"-15.9",,"178",,"194",,"-8.2",,"154",,"157",,"-1.9",,"54.95",,"7.9",,"3093",,"182",
"2021","East St. Paul","2021A00054613032","1127","9725",,"9372",,"3.8",,"3504",,"3304",,"6.1",,"3464",,"3263",,"6.2",,"41.79",,"232.7",,"439",,"14",
"2021","Headingley","2021A00054611042","1128","4331",,"3579",,"21.0",,"1342",,"1098",,"22.2",,"1307",,"1070",,"22.1",,"107.53",,"40.3",,"811",,"34",
"2021","Macdonald","2021A00054610035","1129","8120",,"7162",,"13.4",,"2815",,"2428",,"15.9",,"2743",,"2382",,"15.2",,"1156.11",,"7.0",,"507",,"18",
"2021","Niverville","2021A00054602046","1130","5947",,"4610",,"29.0",,"2010",,"1621",,"24.0",,"1971",,"1555",,"26.8",,"8.70",,"683.7",,"654",,"24",
"2021","Ritchot","2021A00054602075","1131","7469",,"6679",,"11.8",,"2769",,"2510",,"10.3",,"2712",,"2437",,"11.3",,"332.23",,"22.5",,"551",,"19",
"2021","Rosser","2021A00054614015","1132","1270",,"1372",,"-7.4",,"448",,"481",,"-6.9",,"424",,"453",,"-6.4",,"441.74",,"2.9",,"1834",,"127",
"2021","Springfield","2021A00054612047","1133","16142",,"15342",,"5.2",,"5992",,"5667",,"5.7",,"5795",,"5459",,"6.2",,"1096.17",,"14.7",,"275",,"5",
"2021","St. Clements","2021A00054613056","1134","11586",,"10876",,"6.5",,"5720",,"5359",,"6.7",,"4604",,"4238",,"8.6",,"711.17",,"16.3",,"372",,"11",
"2021","St. François Xavier","2021A00054610052","1135","1449",,"1411",,"2.7",,"514",,"505",,"1.8",,"494",,"484",,"2.1",,"205.14",,"7.1",,"1698",,"109",
"2021","Taché","2021A00054602069","1136","11916",,"11568",,"3.0",,"4117",,"3884",,"6.0",,"3999",,"3769",,"6.1",,"580.64",,"20.5",,"362",,"9",
"2021","West St. Paul","2021A00054613037","1137","6682",,"5368",,"24.5",,"2270",,"1809",,"25.5",,"2228",,"1792",,"24.3",,"87.49",,"76.4",,"603",,"22",
"2021","Winnipeg","2021A00054611040","1138","749607",,"705244",,"6.3",,"315465",,"294245",,"7.2",,"300431",,"281046",,"6.9",,"461.78",,"1623.3",,"6",,"1",
"2021","Wood Buffalo","2021S0504860","1139","73837",,"73325","r","0.7",,"31100",,"31399","r","-1.0",,"26479",,"26229","r","1.0",,"60957.21",,"1.2",,"51",,"6",
"2021","Allison Bay 219","2021A00054816850","1140","113",,"127","r","-11.0",,"40",,"46","r","-13.0",,"36",,"38","r","-5.3",,"17.09",,"6.6",,"4203",,"357",
"2021","Dog Head 218","2021A00054816852","1141","85",,"99",,"-14.1",,"50",,"49",,"2.0",,"38",,"39",,"-2.6",,"0.38",,"222.0",,"4327",,"366",
"2021","Fort Mckay 174","2021A00054816810","1142","621",,"747","r","-16.9",,"268",,"306","r","-12.4",,"216",,"252","r","-14.3",,"30.01",,"20.7",,"2676",,"238",
"2021","Gregoire Lake 176","2021A00054816821","1143","203",,"191",,"6.3",,"90",,"74",,"21.6",,"82",,"62",,"32.3",,"22.67",,"9.0",,"3860",,"315",
"2021","Gregoire Lake 176A","2021A00054816822","1144","129",,"130",,"-0.8",,"53",,"49",,"8.2",,"51",,"43",,"18.6",,"0.81",,"159.4",,"4133",,"349",
"2021","Janvier 194","2021A00054816817","1145","360",,"409","r","-12.0",,"148",,"140","r","5.7",,"122",,"123","r","-0.8",,"26.05",,"13.8",,"3316",,"272",
"2021","Old Fort 217","2021A00054816849","1146","0",,"0",,,"...","0",,"0",,,"...","0",,"0",,,"...","13.87",,"0.0",,"4831",,"407",
"2021","Thabacha Náre 196A","2021A00054816861","1147",,"..","28",,,"..",,"..","16",,,"..",,"..","8",,,"..","2.46",,,"..",,"..",,".."
"2021","Wood Buffalo","2021A00054816037","1148","72326",,"71594","r","1.0",,"30451",,"30719","r","-0.9",,"25934",,"25664","r","1.1",,"60843.88",,"1.2",,"81",,"7",
"2021","Woodstock","2021S0504544","1149","46705",,"41098","r","13.6",,"19528",,"17601","r","10.9",,"18886",,"17221","r","9.7",,"56.46",,"827.2",,"66",,"24",
"2021","Woodstock","2021A00053532042","1150","46705",,"41098","r","13.6",,"19528",,"17601","r","10.9",,"18886",,"17221","r","9.7",,"56.46",,"827.2",,"112",,"47",
"2021","Yellowknife","2021S0504995","1151","20340",,"19569",,"3.9",,"7975",,"7758",,"2.8",,"7519",,"7131",,"5.4",,"103.37",,"196.8",,"110",,"1",
"2021","Yellowknife","2021A00056106023","1152","20340",,"19569",,"3.9",,"7975",,"7758",,"2.8",,"7519",,"7131",,"5.4",,"103.37",,"196.8",,"222",,"1",
"2021","Yorkton","2021S0504710","1153","19859",,"19927","r","-0.3",,"9114",,"8985","r","1.4",,"8424",,"8397","r","0.3",,"1623.32",,"12.2",,"112",,"5",
"2021","Ebenezer","2021A00054709014","1154","188",,"185",,"1.6",,"80",,"79",,"1.3",,"77",,"73",,"5.5",,"0.60",,"312.6",,"3895",,"613",
"2021","Orkney No. 244","2021A00054709011","1155","1883",,"1875",,"0.4",,"810",,"796",,"1.8",,"756",,"734",,"3.0",,"770.05",,"2.4",,"1427",,"49",
"2021","Rhein","2021A00054709009","1156","149",,"170",,"-12.4",,"81",,"81",,"0.0",,"65",,"71",,"-8.5",,"1.08",,"138.0",,"4060",,"664",
"2021","Springside","2021A00054709016","1157","478",,"502",,"-4.8",,"227",,"236",,"-3.8",,"202",,"222",,"-9.0",,"0.70",,"679.3",,"2989",,"314",
"2021","Wallace No. 243","2021A00054709006","1158","881",,"852",,"3.4",,"387",,"399",,"-3.0",,"350",,"347",,"0.9",,"814.69",,"1.1",,"2264",,"150",
"2021","Yorkton","2021A00054709012","1159","16280",,"16343",,"-0.4",,"7529",,"7394",,"1.8",,"6974",,"6950",,"0.3",,"36.19",,"449.8",,"274",,"6",


